base_score,booster,colsample_bylevel,colsample_bytree,eta,eval_metric,gamma,learning_rate,max_delta_step,max_depth,min_child_weight,missing,n_estimators,nthread,objective,reg_alpha,reg_lambda,scale_pos_weight,seed,silent,subsample,verbosity,pca_components,model,auc
0.5,gbtree,1,1.0,0.5,"['error', 'logloss', 'auc']",0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,eta.model,0.8939561992459669
0.5,gbtree,1,1.0,0.2,"['error', 'logloss', 'auc']",0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,eta.model,0.8976743985100036
0.5,gbtree,1,1.0,0.15,"['error', 'logloss', 'auc']",0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,eta.model,0.8977970508786418
0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,eta.model,0.8971407113127634
0.5,gbtree,1,1.0,0.05,"['error', 'logloss', 'auc']",0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,eta.model,0.8976123092112884
0.5,gbtree,1,1.0,0.02,"['error', 'logloss', 'auc']",0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,eta.model,0.8967227285740235
0.5,gbtree,1,1.0,0.01,"['error', 'logloss', 'auc']",0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,eta.model,0.8968755452061455
0.5,gbtree,1,1.0,0.005,"['error', 'logloss', 'auc']",0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,eta.model,0.8949121759344638
0.5,gbtree,1,1.0,0.001,"['error', 'logloss', 'auc']",0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,eta.model,0.5553807243666764
0.5,gbtree,1,1.0,0.2,"['error', 'logloss', 'auc']",0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,eta_longer.model,0.8977368685161238
0.5,gbtree,1,1.0,0.15,"['error', 'logloss', 'auc']",0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,eta_longer.model,0.8977970508786418
0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,eta_longer.model,0.8979671149158708
0.5,gbtree,1,1.0,0.05,"['error', 'logloss', 'auc']",0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,eta_longer.model,0.8979517132618423
0.5,gbtree,1,1.0,0.02,"['error', 'logloss', 'auc']",0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,eta_longer.model,0.8979462677862844
0.5,gbtree,1,1.0,0.01,"['error', 'logloss', 'auc']",0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,eta_longer.model,0.8980208660425862
0.0,0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0.0,0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,reg.model,0.8976925263009842
0.0,0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0.0,0.2,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,reg.model,0.8979599970470703
0.0,0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0.0,0.5,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,reg.model,0.8978681037972362
0.0,0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0.0,1.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,reg.model,0.8979671149158708
0.0,0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0.0,5.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,reg.model,0.8977968095373405
0.2,0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0.0,0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,reg.model,0.8977781038869065
0.2,0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0.0,0.2,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,reg.model,0.8978015819765937
0.2,0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0.0,0.5,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,reg.model,0.8979707078420037
0.2,0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0.0,1.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,reg.model,0.8977180710880115
