base_score,booster,colsample_bylevel,colsample_bytree,eta,eval_metric,gamma,learning_rate,max_delta_step,max_depth,min_child_weight,missing,n_estimators,nthread,objective,reg_alpha,reg_lambda,scale_pos_weight,seed,silent,subsample,verbosity,pca_components,model,auc
0.5,gbtree,1,0.9,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.9,0,200,sample_exact.model,0.8649611289921599
0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.9,0,200,sample_exact.model,0.8652643046541392
0.5,gbtree,1,0.6,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,1.0,0,200,sample_exact.model,0.8655697441655078
0.5,gbtree,1,0.7,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,1.0,0,200,sample_exact.model,0.8650472708408428
0.5,gbtree,1,0.8,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,1.0,0,200,sample_exact.model,0.8649781010642329
0.5,gbtree,1,0.9,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,1.0,0,200,sample_exact.model,0.865324905114968
0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,1.0,0,200,sample_exact.model,0.8656216393436248
0.01,0.5,gbtree,1,0.8,0.2,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.6,0,200,alpha.model,0.8642380024701248
0.01,0.5,gbtree,1,0.8,0.08,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.6,0,200,alpha.model,0.8655584827045066
0.01,0.5,gbtree,1,0.8,0.06,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.6,0,200,alpha.model,0.8657504476150315
0.01,0.5,gbtree,1,0.8,0.04,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.6,0,200,alpha.model,0.865532366856372
0.01,0.5,gbtree,1,0.8,0.02,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.6,0,200,alpha.model,0.8658409845947361
